id_station_itinerance,consolidated_longitude,consolidated_latitude,nbre_pdc,puissance_nominale
FRSIGPSIGE7612,2.152863,48.768693,2,7000
FRSIGPSIGE7512,2.169532,48.76463,2,7000
FRSIGPSIGE7461,2.275604,48.823132,1,7000
FRSIGPSIGE7351,2.270023,48.817549,1,7000
FRSIGPSIGE8111,2.277644,48.819004,1,7000
FRSIGPSIGE8421,2.306583,48.972892,1,7000
FRSIGPSIGE8541,2.304623,48.904369,1,7000
FRSIGPSIGE8351,2.152096,48.837186,1,7000
FRSIGPSIGE6551,2.229152,48.840172,1,7000
FRSIGPSIGE6711,2.241986,48.828194,1,7000
FRSIGPSIGE6661,2.230145,48.831536,1,7000
FRSIGPSIGE6461,2.252363,48.83684,1,7000
FRSIGPSIGE7261,2.258038,48.819081,1,7000
FRSIGPSIGE7131,2.254615,48.832364,1,7000
FRSIGPSIGE7022,2.119152,48.887603,2,24000
FRSIGPSIGE6912,2.140268,48.880798,2,24000
FRSIGPSIGE6812,2.143236,48.878289,2,24000
FRSIGPSIGE8611,2.309161,48.909744,1,7000
FRSIGPSIGE11111,2.218729,48.845411,2,24000
FRSIGPSIGE11511,2.156808,48.838145,2,24000
FRSIGPSIGE11412,2.53094,48.7965,2,24000
FRSIGPSIGE11312,2.219264,48.841715,2,24000
FRSIGPSIGE11212,2.203739,48.842105,2,24000
FRSIGPSIGE11012,2.377945,48.99638,2,22000
FRSIGPSIGE11611,2.246242,48.8288,2,24000
FRSIGPSIGE10812,2.380766,48.97929,2,22000
FRSIGPSIGE10712,2.336956,49.032846,2,22000
FRSIGPSIGE10612,2.326929,49.027391,2,22000
FRSIGPSIGE17212,2.569549,48.934912,2,22000
FRSIGPSIGE10312,2.524608,48.905451,2,22000
FRSIGPSIGE12311,2.299287,48.810455,2,24000
FRSIGPSIGE12911,2.513482,48.894296,2,22000
FRSIGPSIGE12812,2.512814,48.892332,2,22000
FRSIGPSIGE12512,2.604149,48.916773,2,22000
FRSIGPSIGE12412,2.298238,48.806568,2,24000
FRSIGPSIGE12212,2.339881,49.033346,2,24000
FRSIGPSIGE11711,2.536884,48.919073,2,24000
FRSIGPSIGE12112,2.51808,48.909806,2,24000
FRSIGPSIGE11912,2.508051,48.902835,2,22000
FRSIGPSIGE11812,2.54441,48.922985,2,24000
